text,intent
im done,end_activity
got data for 50,log_spending
wrapping up,end_activity
spent 500 NGN on groceries,log_spending
just paid ₦150 for bills,log_spending
paid 45 bucks for bills,log_spending
about to do some chores,start_activity
gonna dinner,start_activity
bought coffee for ₦500,log_spending
just spent 200.50 for dinner,log_spending
paid 1000 for data,log_spending
spent 2.5knaira on gas,log_spending
spent 5k NGN on uber,log_spending
just spent 45 for bills,log_spending
paid 2.5k for drinks,log_spending
bought bills for ₦2.5k,log_spending
paid 10000 bucks for bills,log_spending
bought airtime for 1m naira,log_spending
cost me 150 to get bills,log_spending
paid 200.50 bucks for subscription,log_spending
cost me 8000 to get lunch,log_spending
just paid ₦200.50 for drinks,log_spending
bought lunch for ₦5k,log_spending
spent 1m NGN on coffee,log_spending
bought gas for ₦5k,log_spending
got lunch for 45,log_spending
just spent 10000 for data,log_spending
spent 500naira on data,log_spending
spent 1mnaira on coffee,log_spending
spent 1m NGN on data,log_spending
cost me 5k to get airtime,log_spending
spent 50naira on gas,log_spending
moving to deep work,transition_activity
paid 8000 for airtime,log_spending
dropped 2.5k bucks on coffee,log_spending
spent 500 NGN on coffee,log_spending
cost me 200.50 to get dinner,log_spending
paid 50 for food,log_spending
spent 50naira on airtime,log_spending
dropped 150 bucks on groceries,log_spending
bought gas for 500 naira,log_spending
im going to start meeting,start_activity
bought gas for ₦45,log_spending
spent 1mnaira on groceries,log_spending
just spent 1m for dinner,log_spending
cost me 200.50 to get data,log_spending
spent 150 on gas,log_spending
got uber for 8000,log_spending
spent 10000naira on data,log_spending
spent 45naira on gas,log_spending
about to do some reading,start_activity
paid 200.50 for dinner,log_spending
time for gym,start_activity
just spent 150 for uber,log_spending
spent 2.5knaira on bills,log_spending
bought lunch for ₦150,log_spending
45 on drinks,log_spending
bought groceries for 200.50 naira,log_spending
switching to meditation,transition_activity
got uber for 1m,log_spending
got drinks for 50,log_spending
spent 1000naira on lunch,log_spending
im doing deep work now instead,transition_activity
paid 150 for subscription,log_spending
time for dinner,start_activity
just paid ₦10000 for drinks,log_spending
spent 2.5k NGN on lunch,log_spending
bought coffee for 500 naira,log_spending
changing to chores,transition_activity
spent 1m NGN on dinner,log_spending
got drinks for 10000,log_spending
bought food for ₦5k,log_spending
dropped 1000 bucks on groceries,log_spending
just spent 8000 for groceries,log_spending
im going to start chores,start_activity
paid 1000 bucks for subscription,log_spending
spent 45 on airtime,log_spending
spent 500naira on lunch,log_spending
bought dinner for 5k naira,log_spending
cost me 10000 to get uber,log_spending
5k on dinner,log_spending
50 on drinks,log_spending
just spent 45 for groceries,log_spending
bought subscription for 200.50 naira,log_spending
paid 2.5k bucks for lunch,log_spending
just spent 1m for subscription,log_spending
bought coffee for ₦45,log_spending
paid 50 for airtime,log_spending
just paid ₦500 for subscription,log_spending
cost me 50 to get dinner,log_spending
spent 150 on dinner,log_spending
just spent 200.50 for bills,log_spending
spent 200.50 on airtime,log_spending
got dinner for 200.50,log_spending
bought food for 8000 naira,log_spending
paid 1000 for uber,log_spending
spent 8000 NGN on subscription,log_spending
spent 1000naira on gas,log_spending
spent 45naira on airtime,log_spending
2.5k on bills,log_spending
spent 5k NGN on subscription,log_spending
spent 10000 NGN on lunch,log_spending
dropped 200.50 bucks on drinks,log_spending
bought drinks for ₦50,log_spending
spent 150 on coffee,log_spending
cost me 500 to get subscription,log_spending
500 on coffee,log_spending
spent 1000 on data,log_spending
dropped 1000 bucks on coffee,log_spending
paid 200.50 bucks for data,log_spending
10000 on uber,log_spending
im going to start dinner,start_activity
heading to meditation,start_activity
spent 150naira on data,log_spending
cost me 45 to get uber,log_spending
5k on drinks,log_spending
just paid ₦10000 for airtime,log_spending
dropped 10000 bucks on coffee,log_spending
bought food for 2.5k naira,log_spending
just paid ₦1000 for lunch,log_spending
just paid ₦1000 for gas,log_spending
paid 8000 bucks for coffee,log_spending
no,idle_chat
switching to reading,transition_activity
just paid ₦2.5k for food,log_spending
paid 45 bucks for gas,log_spending
spent 45 NGN on subscription,log_spending
spent 1000 NGN on gas,log_spending
bought uber for 50 naira,log_spending
begin gym,start_activity
bought gas for 200.50 naira,log_spending
paid 45 for gas,log_spending
paid 500 bucks for drinks,log_spending
1m on data,log_spending
bought bills for 1m naira,log_spending
paid 8000 bucks for gas,log_spending
8000 on airtime,log_spending
spent 45 on data,log_spending
spent 45naira on bills,log_spending
8000 on groceries,log_spending
spent 45naira on subscription,log_spending
spent 2.5k NGN on data,log_spending
paid 5k for lunch,log_spending
45 on dinner,log_spending
paid 5k bucks for bills,log_spending
